Week,ProductLine,Country,TotalUnits,AvgPrice,Alerta
1,Classic Cars,EIRE,1,50.0,
1,Classic Cars,France,72,0.586,
1,Classic Cars,Germany,4,3.95,
1,Classic Cars,Portugal,16,1.69,
1,Classic Cars,Spain,81,0.9575,
1,Classic Cars,United Kingdom,2257,1.2356544502617801,
1,Others,Australia,4802,1.8370833333333334,
1,Others,EIRE,84,2.8083333333333336,
1,Others,France,1780,3.87583850931677,
1,Others,Germany,2630,2.7932888888888887,
1,Others,Portugal,625,3.3945098039215686,
1,Others,Spain,549,3.099777777777778,
1,Others,Sweden,293,4.423076923076923,
1,Others,United Kingdom,56942,3.124015409018808,
1,Planes,Germany,24,1.75,
1,Planes,United Kingdom,32,2.6833333333333336,
2,Classic Cars,Australia,20,1.65,
2,Classic Cars,EIRE,100,1.45,
2,Classic Cars,France,42,1.778,
2,Classic Cars,Germany,34,1.9275,
2,Classic Cars,Italy,12,1.25,
2,Classic Cars,Netherlands,720,0.36,
2,Classic Cars,Spain,12,2.95,
2,Classic Cars,United Kingdom,1333,1.473,
2,Others,Australia,362,2.25,
2,Others,Belgium,590,2.361612903225806,
2,Others,Cyprus,144,18.250625,
2,Others,EIRE,6098,3.1685,
2,Others,France,3335,3.1746929824561407,
2,Others,Germany,1133,4.639736842105263,
2,Others,Italy,736,2.889130434782609,
2,Others,Netherlands,7490,1.728169014084507,
2,Others,Spain,2114,4.182857142857142,
2,Others,United Kingdom,52669,3.2946249353336783,
2,Planes,Australia,12,2.25,
2,Planes,United Kingdom,37,2.6785714285714284,
3,Classic Cars,Australia,10,1.65,
3,Classic Cars,EIRE,49,26.275,
3,Classic Cars,France,84,0.5583333333333332,
3,Classic Cars,Germany,12,0.42,
3,Classic Cars,Italy,20,1.65,
3,Classic Cars,Netherlands,648,0.36,
3,Classic Cars,Spain,21,1.2966666666666666,
3,Classic Cars,Switzerland,232,0.9530769230769232,
3,Classic Cars,United Kingdom,1043,1.3544186046511628,
3,Others,Australia,328,3.0342857142857143,
3,Others,Belgium,94,3.290909090909091,
3,Others,EIRE,1570,3.016206896551724,
3,Others,Finland,164,10.928,
