StockCode,semanas_activas,unidades_totales,descripcion,product_line,tasa_rotacion
10002,17,823,INFLATABLE POLITICAL GLOBE,Others,48.411764705882355
10080,15,291,GROOVY CACTUS INFLATABLE,Others,19.4
10120,19,193,DOGGY RUBBER,Others,10.157894736842104
10123C,3,5,HEARTS WRAPPING TAPE,Others,1.6666666666666667
10124A,5,16,SPOTS ON RED BOOKCOVER TAPE,Others,3.2
10124G,4,17,ARMY CAMO BOOKCOVER TAPE,Others,4.25
10125,32,1226,MINI FUNKY DESIGN TAPES,Others,38.3125
10133,33,2384,COLOURING PENCILS BROWN TUBE,Others,72.24242424242425
10135,43,1938,COLOURING PENCILS BROWN TUBE,Others,45.06976744186046
11001,36,1252,ASSTD DESIGN RACING CAR PEN,Others,34.77777777777778
15030,10,143,FAN BLACK FRAME,Others,14.3
15034,41,6419,PAPER POCKET TRAVELING FAN,Stationery,156.5609756097561
15036,51,21876,ASSORTED COLOURS SILK FAN,Others,428.94117647058823
15039,36,1559,SANDALWOOD FAN,Others,43.30555555555556
15044A,34,428,PINK PAPER PARASOL,Stationery,12.588235294117647
15044B,26,307,BLUE PAPER PARASOL,Stationery,11.807692307692308
15044C,32,272,PURPLE PAPER PARASOL,Stationery,8.5
15044D,36,630,RED PAPER PARASOL,Stationery,17.5
15056BL,51,2779,EDWARDIAN PARASOL BLACK,Others,54.490196078431374
15056N,51,3826,EDWARDIAN PARASOL NATURAL,Others,75.01960784313725
15056P,50,769,EDWARDIAN PARASOL PINK,Others,15.38
15058A,26,148,BLUE POLKADOT GARDEN PARASOL,Others,5.6923076923076925
15058B,22,115,PINK POLKADOT GARDEN PARASOL,Others,5.2272727272727275
15058C,16,193,ICE CREAM DESIGN GARDEN PARASOL,Others,12.0625
15060B,41,411,FAIRY CAKE DESIGN UMBRELLA,Others,10.024390243902438
16008,30,2892,SMALL FOLDING SCISSOR(POINTED EDGE),Others,96.4
16010,3,30,FOLDING CAMPING SCISSOR W/KNIF & S,Others,10.0
16011,28,1773,ANIMAL STICKERS,Toys & Games,63.32142857142857
16012,23,1244,FOOD/DRINK SPONGE STICKERS,Toys & Games,54.08695652173913
16014,29,13328,SMALL CHINESE STYLE SCISSOR,Others,459.58620689655174
16015,21,662,MEDIUM CHINESE STYLE SCISSOR,Others,31.523809523809526
16016,35,1273,LARGE CHINESE STYLE SCISSOR,Others,36.371428571428574
16020C,2,6,CLEAR STATIONERY BOX SET,Stationery,3.0
16033,4,840,MINI HIGHLIGHTER PENS,Others,210.0
16043,1,98,POP ART PUSH DOWN RUBBER,Others,98.0
16045,30,8900,POPART WOODEN PENCILS ASST,Others,296.6666666666667
16046,11,67,TEATIME PEN CASE & PENS,Kitchenware,6.090909090909091
16048,24,1437,TEATIME ROUND PENCIL SHARPENER,Kitchenware,59.875
16049,3,504,TEATIME GEL PENS ASST,Kitchenware,168.0
