Product,Country,Quantity,Avg_UnitPrice,AlertFlag
 4 PURPLE FLOCK DINNER CANDLES,EIRE,6,2.55,OK
 4 PURPLE FLOCK DINNER CANDLES,United Kingdom,134,2.318421052631579,OK
 50'S CHRISTMAS GIFT BAG LARGE,EIRE,48,1.25,OK
 50'S CHRISTMAS GIFT BAG LARGE,France,12,1.25,OK
 50'S CHRISTMAS GIFT BAG LARGE,Germany,60,1.25,OK
 50'S CHRISTMAS GIFT BAG LARGE,Portugal,56,1.25,OK
 50'S CHRISTMAS GIFT BAG LARGE,Spain,12,1.25,OK
 50'S CHRISTMAS GIFT BAG LARGE,United Kingdom,1697,1.247857142857143,OK
 DOLLY GIRL BEAKER,Australia,200,1.08,OK
 DOLLY GIRL BEAKER,Austria,12,1.25,OK
 DOLLY GIRL BEAKER,Belgium,60,1.25,OK
 DOLLY GIRL BEAKER,Cyprus,12,1.25,OK
 DOLLY GIRL BEAKER,EIRE,24,1.25,OK
 DOLLY GIRL BEAKER,France,120,1.25,OK
 DOLLY GIRL BEAKER,Germany,84,1.25,OK
 DOLLY GIRL BEAKER,Israel,12,1.25,OK
 DOLLY GIRL BEAKER,Netherlands,1201,1.114,OK
 DOLLY GIRL BEAKER,Norway,12,1.25,OK
 DOLLY GIRL BEAKER,United Kingdom,661,1.25,OK
 I LOVE LONDON MINI BACKPACK,Australia,4,4.15,OK
 I LOVE LONDON MINI BACKPACK,Belgium,4,4.15,OK
 I LOVE LONDON MINI BACKPACK,Cyprus,4,4.15,OK
 I LOVE LONDON MINI BACKPACK,France,19,4.15,OK
 I LOVE LONDON MINI BACKPACK,Germany,8,4.15,OK
 I LOVE LONDON MINI BACKPACK,Japan,40,4.15,OK
 I LOVE LONDON MINI BACKPACK,Netherlands,100,3.75,OK
 I LOVE LONDON MINI BACKPACK,United Kingdom,181,4.15,OK
 I LOVE LONDON MINI RUCKSACK,Netherlands,1,4.15,OK
 NINE DRAWER OFFICE TIDY,Cyprus,4,14.95,OK
 NINE DRAWER OFFICE TIDY,EIRE,2,14.95,OK
 NINE DRAWER OFFICE TIDY,Finland,2,14.95,OK
 NINE DRAWER OFFICE TIDY,France,2,14.95,OK
 NINE DRAWER OFFICE TIDY,Portugal,1,14.95,OK
 NINE DRAWER OFFICE TIDY,United Kingdom,44,14.76153846153846,OK
 OVAL WALL MIRROR DIAMANTE ,EIRE,7,9.95,OK
 OVAL WALL MIRROR DIAMANTE ,Norway,2,9.95,OK
 OVAL WALL MIRROR DIAMANTE ,United Kingdom,112,9.842857142857142,OK
 RED SPOT GIFT BAG LARGE,EIRE,48,1.25,OK
 RED SPOT GIFT BAG LARGE,Germany,48,1.25,OK
 RED SPOT GIFT BAG LARGE,Portugal,24,1.25,OK
 RED SPOT GIFT BAG LARGE,Spain,12,1.25,OK
 RED SPOT GIFT BAG LARGE,Switzerland,12,1.25,OK
 RED SPOT GIFT BAG LARGE,United Kingdom,1556,1.2475862068965518,OK
 SET 2 TEA TOWELS I LOVE LONDON ,Cyprus,6,2.95,OK
 SET 2 TEA TOWELS I LOVE LONDON ,France,132,3.0785714285714287,OK
 SET 2 TEA TOWELS I LOVE LONDON ,Germany,48,3.0700000000000003,OK
 SET 2 TEA TOWELS I LOVE LONDON ,Spain,8,2.95,OK
 SET 2 TEA TOWELS I LOVE LONDON ,USA,3,3.25,OK
 SET 2 TEA TOWELS I LOVE LONDON ,United Kingdom,2430,3.026310160427808,OK
 SPACEBOY BABY GIFT SET,Austria,6,14.95,OK
 SPACEBOY BABY GIFT SET,Belgium,10,16.95,OK
 SPACEBOY BABY GIFT SET,Channel Islands,3,16.95,OK
 SPACEBOY BABY GIFT SET,Denmark,24,14.95,OK
 SPACEBOY BABY GIFT SET,EIRE,54,16.15,OK
 SPACEBOY BABY GIFT SET,France,86,16.075,OK
 SPACEBOY BABY GIFT SET,Germany,12,16.55,OK
 SPACEBOY BABY GIFT SET,Netherlands,39,15.75,OK
 SPACEBOY BABY GIFT SET,Spain,6,14.95,OK
 SPACEBOY BABY GIFT SET,Switzerland,22,16.15,OK
 SPACEBOY BABY GIFT SET,United Arab Emirates,6,14.95,OK
 SPACEBOY BABY GIFT SET,United Kingdom,181,16.69468085106383,OK
 SPACEBOY BABY GIFT SET,Unspecified,1,16.95,OK
 TOADSTOOL BEDSIDE LIGHT ,United Kingdom,2,8.95,OK
 TRELLIS COAT RACK,EIRE,18,4.95,OK
 TRELLIS COAT RACK,France,6,4.95,OK
 TRELLIS COAT RACK,United Kingdom,193,4.912790697674419,OK
10 COLOUR SPACEBOY PEN,Australia,48,0.85,OK
10 COLOUR SPACEBOY PEN,Canada,24,0.85,OK
10 COLOUR SPACEBOY PEN,EIRE,216,0.85,OK
10 COLOUR SPACEBOY PEN,France,336,0.85,OK
10 COLOUR SPACEBOY PEN,Germany,264,0.85,OK
10 COLOUR SPACEBOY PEN,Netherlands,864,0.72,OK
10 COLOUR SPACEBOY PEN,Norway,24,0.85,OK
10 COLOUR SPACEBOY PEN,Portugal,24,0.85,OK
10 COLOUR SPACEBOY PEN,Spain,48,0.85,OK
10 COLOUR SPACEBOY PEN,Switzerland,72,0.85,OK
10 COLOUR SPACEBOY PEN,United Arab Emirates,24,0.85,OK
10 COLOUR SPACEBOY PEN,United Kingdom,4323,0.8803980099502487,OK
12 COLOURED PARTY BALLOONS,Belgium,20,0.65,OK
12 COLOURED PARTY BALLOONS,Channel Islands,40,0.65,OK
12 COLOURED PARTY BALLOONS,EIRE,20,0.65,OK
12 COLOURED PARTY BALLOONS,France,120,0.65,OK
12 COLOURED PARTY BALLOONS,Germany,40,0.65,OK
12 COLOURED PARTY BALLOONS,Switzerland,80,0.65,OK
12 COLOURED PARTY BALLOONS,United Kingdom,1790,0.6637404580152672,OK
12 DAISY PEGS IN WOOD BOX,EIRE,48,1.65,OK
12 DAISY PEGS IN WOOD BOX,United Kingdom,279,1.65,OK
12 EGG HOUSE PAINTED WOOD,EIRE,25,12.492857142857144,OK
12 EGG HOUSE PAINTED WOOD,France,2,12.75,OK
12 EGG HOUSE PAINTED WOOD,Italy,2,12.75,OK
12 EGG HOUSE PAINTED WOOD,Lebanon,4,12.75,OK
12 EGG HOUSE PAINTED WOOD,Spain,1,12.75,OK
12 EGG HOUSE PAINTED WOOD,United Kingdom,77,12.980377358490566,OK
12 HANGING EGGS HAND PAINTED,United Kingdom,42,2.08,OK
12 IVORY ROSE PEG PLACE SETTINGS,EIRE,17,1.25,OK
12 IVORY ROSE PEG PLACE SETTINGS,Germany,12,1.25,OK
12 IVORY ROSE PEG PLACE SETTINGS,Malta,12,1.25,OK
12 IVORY ROSE PEG PLACE SETTINGS,United Kingdom,708,1.25,OK
12 MESSAGE CARDS WITH ENVELOPES,EIRE,36,1.6499999999999997,OK
12 MESSAGE CARDS WITH ENVELOPES,France,24,1.65,OK
12 MESSAGE CARDS WITH ENVELOPES,Germany,18,1.65,OK
12 MESSAGE CARDS WITH ENVELOPES,Spain,24,1.65,OK
12 MESSAGE CARDS WITH ENVELOPES,United Kingdom,1523,1.6415343915343916,OK
12 MESSAGE CARDS WITH ENVELOPES,Unspecified,3,1.65,OK
12 PENCIL SMALL TUBE WOODLAND,Australia,384,0.55,OK
12 PENCIL SMALL TUBE WOODLAND,Belgium,24,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,EIRE,48,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,France,197,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,Germany,350,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,Netherlands,384,0.55,OK
12 PENCIL SMALL TUBE WOODLAND,Portugal,5,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,Spain,24,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,Sweden,24,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,Switzerland,48,0.65,OK
12 PENCIL SMALL TUBE WOODLAND,United Kingdom,2519,0.6678707224334601,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Austria,48,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Belgium,24,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Czech Republic,24,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,EIRE,24,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,France,149,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Germany,118,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Netherlands,1,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Portugal,7,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,Sweden,768,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,USA,72,0.65,OK
12 PENCILS SMALL TUBE RED RETROSPOT,United Kingdom,5165,0.6489761092150171,OK
12 PENCILS SMALL TUBE SKULL,Austria,24,0.65,OK
12 PENCILS SMALL TUBE SKULL,Belgium,24,0.65,OK
12 PENCILS SMALL TUBE SKULL,Cyprus,6,0.65,OK
12 PENCILS SMALL TUBE SKULL,Czech Republic,24,0.65,OK
12 PENCILS SMALL TUBE SKULL,France,155,0.65,OK
12 PENCILS SMALL TUBE SKULL,Germany,42,0.65,OK
12 PENCILS SMALL TUBE SKULL,Sweden,408,0.65,OK
12 PENCILS SMALL TUBE SKULL,Switzerland,24,0.65,OK
12 PENCILS SMALL TUBE SKULL,United Kingdom,6027,0.6482456140350877,OK
12 PENCILS TALL TUBE POSY,Australia,252,0.57,OK
12 PENCILS TALL TUBE POSY,Canada,24,0.29,OK
12 PENCILS TALL TUBE POSY,EIRE,144,0.29,OK
12 PENCILS TALL TUBE POSY,Finland,24,0.29,OK
12 PENCILS TALL TUBE POSY,France,24,0.29,OK
12 PENCILS TALL TUBE POSY,Germany,36,0.57,OK
12 PENCILS TALL TUBE POSY,Portugal,2,0.29,OK
12 PENCILS TALL TUBE POSY,Singapore,24,0.29,OK
12 PENCILS TALL TUBE POSY,Switzerland,24,0.29,OK
12 PENCILS TALL TUBE POSY,United Arab Emirates,12,0.29,OK
12 PENCILS TALL TUBE POSY,United Kingdom,3243,0.3635,OK
12 PENCILS TALL TUBE RED RETROSPOT,Australia,12,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Belgium,12,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,EIRE,216,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,France,109,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Germany,48,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Greece,12,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Italy,12,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Japan,48,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Netherlands,1,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Portugal,38,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,Switzerland,12,0.85,OK
12 PENCILS TALL TUBE RED RETROSPOT,United Kingdom,2132,0.8494170403587443,OK
12 PENCILS TALL TUBE SKULLS,EIRE,12,0.85,OK
12 PENCILS TALL TUBE SKULLS,Germany,24,0.85,OK
12 PENCILS TALL TUBE SKULLS,Greece,12,0.85,OK
12 PENCILS TALL TUBE SKULLS,Italy,12,0.85,OK
12 PENCILS TALL TUBE SKULLS,Norway,24,0.85,OK
12 PENCILS TALL TUBE SKULLS,Switzerland,12,0.85,OK
12 PENCILS TALL TUBE SKULLS,United Kingdom,1923,0.8493953488372094,OK
12 PENCILS TALL TUBE WOODLAND,Belgium,24,0.85,OK
12 PENCILS TALL TUBE WOODLAND,EIRE,48,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Finland,12,0.85,OK
12 PENCILS TALL TUBE WOODLAND,France,72,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Germany,108,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Italy,12,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Netherlands,1,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Norway,24,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Portugal,12,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Sweden,12,0.85,OK
12 PENCILS TALL TUBE WOODLAND,Switzerland,24,0.85,OK
12 PENCILS TALL TUBE WOODLAND,United Kingdom,1502,0.8499999999999999,OK
12 PINK HEN+CHICKS IN BASKET,EIRE,13,2.55,OK
12 PINK HEN+CHICKS IN BASKET,Germany,6,2.55,OK
12 PINK HEN+CHICKS IN BASKET,United Kingdom,22,2.55,OK
12 PINK ROSE PEG PLACE SETTINGS,EIRE,4,1.25,OK
12 PINK ROSE PEG PLACE SETTINGS,United Kingdom,210,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,Cyprus,3,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,EIRE,18,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,Germany,12,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,Malta,12,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,Switzerland,60,1.25,OK
12 RED ROSE PEG PLACE SETTINGS,United Kingdom,295,1.25,OK
15 PINK FLUFFY CHICKS IN BOX,United Kingdom,10,2.95,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,EIRE,156,7.45,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,France,8,7.95,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,Poland,4,7.95,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,Singapore,12,6.95,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,Switzerland,2,7.95,OK
15CM CHRISTMAS GLASS BALL 20 LIGHTS,United Kingdom,1084,7.7934343434343445,OK
16 PC CUTLERY SET PANTRY DESIGN,United Kingdom,4,15.95,OK
16 PIECE CUTLERY SET PANTRY DESIGN,Australia,24,12.5,OK
16 PIECE CUTLERY SET PANTRY DESIGN,EIRE,8,15.95,OK
16 PIECE CUTLERY SET PANTRY DESIGN,France,2,15.95,OK
16 PIECE CUTLERY SET PANTRY DESIGN,Germany,8,15.949999999999998,OK
