StockCode,Quantity,UnitPrice,EstimatedValue
10002,823,0.85,699.55
10123C,5,0.65,3.25
16010,30,0.12,3.5999999999999996
16020C,6,0.85,5.1
16033,840,0.12,100.8
16043,98,0.12,11.76
16049,504,0.24,120.96
16052,467,0.305,142.435
16151A,49,1.25,61.25
16161M,25,0.42,10.5
16169N,25,0.42,10.5
16169P,50,0.42,21.0
16202A,7,0.5,3.5
16202B,29,0.5,14.5
16202E,15,0.5,7.5
16206B,7,1.25,8.75
16207B,4,2.7866666666666666,11.146666666666667
16244B,7,1.225,8.575000000000001
17001,72,0.29,20.88
17007B,24,2.1,50.400000000000006
17011F,80,1.1333333333333335,90.66666666666669
17012E,59,1.525,89.975
17013D,532,0.8672727272727272,461.3890909090909
17014A,154,0.6071428571428571,93.49999999999999
17028J,6,0.42,2.52
17090D,29,1.25,36.25
17091A,172,0.7815384615384615,134.42461538461538
17096,2516,0.20076923076923076,505.13538461538457
17109D,61,0.9039999999999999,55.14399999999999
17164B,29,0.42000000000000004,12.180000000000001
17165D,27,1.05,28.35
18007,5856,0.16666666666666666,976.0
18097A,5,2.55,12.75
18098C,193,2.918421052631579,563.2552631578948
20664,6,2.9500000000000006,17.700000000000003
20666,4,2.95,11.8
20667,1,2.95,2.95
20671,10,1.25,12.5
20681,125,3.25,406.25
20684,78,3.25,253.5
20700,10,3.75,37.5
20701,6,3.75,22.5
20703,1,4.25,4.25
20716,314,1.2445714285714287,390.7954285714286
20731,74,1.25,92.5
20778,15,1.65,24.75
20785,14,39.15,548.1
20798,36,2.1,75.60000000000001
20801,848,0.9405454545454546,797.5825454545454
20803,917,0.515625,472.828125
20816,8,1.95,15.6
20818,12,2.5,30.0
20820,5,4.95,24.75
20823,164,0.79,129.56
20826,276,0.8225,227.01
20827,88,0.39,34.32
20845,19,6.35,120.64999999999999
20851,9,5.95,53.550000000000004
20854,166,1.6388888888888888,272.05555555555554
20856,140,1.65,231.0
20857,32,1.65,52.8
20861,2,2.1,4.2
20878,25,1.25,31.25
20892,1,12.75,12.75
20897,85,2.9000000000000004,246.50000000000003
20902,33,6.216666666666666,205.14999999999998
20906,3,2.95,8.850000000000001
20910,8,6.349999999999999,50.79999999999999
20941,61,1.25,76.25
20964,2,2.55,5.1
20966,589,1.2453658536585366,733.520487804878
20967,257,3.75,963.75
20980,27,1.25,33.75
20997,15,4.95,74.25
21011,18,1.45,26.099999999999998
21018,22,0.85,18.7
21038,77,1.1656521739130437,89.75521739130436
21040,22,1.67,36.739999999999995
21043,443,2.2948275862068965,1016.6086206896551
21069,1868,1.2353846153846153,2307.6984615384613
21087,126,0.466,58.716
21089,231,0.22833333333333336,52.745000000000005
21095,95,0.85,80.75
21100,43,1.65,70.95
21143,296,1.95,577.1999999999999
21161,131,1.45,189.95
21171,424,1.4333333333333333,607.7333333333333
21187,330,1.6385714285714283,540.7285714285714
21188,294,2.926470588235294,860.3823529411765
21195,417,1.8675,778.7475
21228,5,1.25,6.25
21246,175,4.932051282051282,863.1089743589744
21268,2,0.42,0.84
21272,503,1.2512121212121212,629.359696969697
21278,43,2.55,109.64999999999999
21307,79,1.2646153846153847,99.9046153846154
21310,1,29.95,29.95
21316,149,1.654,246.446
21318,680,0.8999999999999999,611.9999999999999
21319,147,1.2133333333333332,178.35999999999999
21320,186,1.595,296.67
21324,69,2.95,203.55
21332,14,10.55,147.70000000000002
21333,55,2.95,162.25
21336,8,2.9500000000000006,23.600000000000005
21348,139,2.79,387.81
21357,19,1.25,23.75
21359,127,8.283333333333333,1051.9833333333333
21360,37,7.378571428571428,273.00714285714287
21361,91,12.716666666666667,1157.2166666666667
21392,32,1.3671428571428572,43.74857142857143
21393,29,1.45875,42.30375
21397,1016,0.5268181818181819,535.2472727272727
21398,1499,0.6691836734693878,1003.1063265306123
21399,2047,0.5528571428571428,1131.6985714285713
21414,1,2.1,2.1
21416,5,3.75,18.75
21421,298,1.2353846153846153,368.14461538461535
21445,214,1.25,267.5
21459,75,1.9500000000000002,146.25
21460,26,1.9500000000000002,50.7
21461,9,1.95,17.55
21472,119,3.75,446.25
21486,8,3.75,30.0
21488,3,3.95,11.850000000000001
21518,265,0.41647058823529415,110.36470588235295
21527,468,7.86304347826087,3679.9043478260874
21538,5,3.75,18.75
21547,72,2.95,212.4
21609,761,2.9233333333333333,2224.6566666666668
21614,48,2.95,141.60000000000002
21632,60,3.95,237.0
21635,270,1.9166666666666667,517.5
21651,131,1.6136363636363635,211.38636363636363
21655,36,1.69,60.839999999999996
21656,117,1.45,169.65
21657,28,6.95,194.6
21658,773,3.9010769230769236,3015.532461538462
21661,3,5.95,17.85
21662,74,5.91875,437.9875
21667,2,14.95,29.9
21681,2,9.95,19.9
21690,24,3.75,90.0
21692,17,3.75,63.75
21717,405,2.5026315789473683,1013.5657894736842
21720,57,0.85,48.449999999999996
21736,80,1.8150000000000002,145.20000000000002
21757,6,4.95,29.700000000000003
21763,6,27.4625,164.77499999999998
21769,11,66.36,729.96
21777,7,7.95,55.65
21781,138,14.86951219512195,2051.9926829268293
21785,411,0.8099999999999999,332.90999999999997
21792,331,4.59,1519.29
21826,93,1.25,116.25
21827,6,1.25,7.5
21836,3,3.75,11.25
21839,1,5.45,5.45
21870,1357,1.247304964539007,1692.5928368794325
21895,1,4.25,4.25
21897,402,2.88,1157.76
21898,445,3.0157142857142856,1341.992857142857
21904,51,2.1,107.10000000000001
21910,36,1.65,59.4
21911,105,1.65,173.25
22021,350,1.65,577.5
22033,336,0.42000000000000004,141.12
22034,3,0.42,1.26
22052,571,0.42,239.82
22060,233,5.2081081081081075,1213.4891891891891
22073,300,3.7059183673469387,1111.7755102040817
22088,1698,2.905555555555556,4933.633333333334
22127,402,1.2409523809523808,498.8628571428571
22137,68,2.913636363636364,198.12727272727275
22145,30,2.1,63.0
22146,1,1.95,1.95
22157,212,0.85,180.2
22168,139,8.488666666666667,1179.9246666666668
22184,8,8.5,68.0
22194,53,8.5,450.5
22198,873,1.6273584905660377,1420.683962264151
22202,39,3.75,146.25
22218,1,4.25,4.25
22242,631,1.6277777777777775,1027.1277777777777
