StockCode,Month,Quantity,TotalSales
10002,2010-12,224,190.39999999999998
10002,2011-01,337,286.45
10002,2011-02,50,42.5
10002,2011-03,23,19.549999999999997
10002,2011-04,189,160.65
10080,2011-02,2,1.7
10080,2011-06,48,18.72
10080,2011-07,24,9.36
10080,2011-08,60,23.4
10080,2011-09,60,23.4
10080,2011-10,6,2.34
10080,2011-11,91,35.489999999999995
10120,2010-12,16,3.36
10120,2011-02,30,6.3
10120,2011-03,29,6.09
10120,2011-05,3,0.63
10120,2011-07,5,1.05
10120,2011-08,35,7.35
10120,2011-09,10,2.1
10120,2011-10,10,2.1
10120,2011-11,49,10.29
10120,2011-12,6,1.26
10123C,2010-12,1,0.65
10123C,2011-03,4,2.6
10124A,2010-12,4,1.68
10124A,2011-02,3,1.26
10124A,2011-03,5,2.1
10124A,2011-11,4,1.68
10124G,2010-12,5,2.1
10124G,2011-03,4,1.68
10124G,2011-09,4,1.68
10124G,2011-11,4,1.68
10125,2010-12,143,78.55
10125,2011-01,160,67.2
10125,2011-03,112,95.19999999999999
10125,2011-04,82,69.7
10125,2011-05,107,90.95
10125,2011-06,13,11.049999999999999
10125,2011-07,176,149.6
10125,2011-08,85,72.25
10125,2011-09,210,178.5
10125,2011-10,50,42.5
10125,2011-11,62,52.7
10125,2011-12,26,22.1
10133,2010-12,123,78.75
10133,2011-01,90,42.1
10133,2011-02,37,31.45
10133,2011-03,83,70.55
10133,2011-04,75,63.75
10133,2011-05,33,28.05
10133,2011-06,448,201.06
10133,2011-07,662,278.04
10133,2011-08,640,268.8
10133,2011-09,193,81.06
10135,2010-12,366,191.9
10135,2011-01,400,217.8
10135,2011-02,263,274.15
10135,2011-03,117,96.45
10135,2011-04,30,37.5
10135,2011-05,8,10.0
10135,2011-06,55,68.75
10135,2011-07,177,221.25
10135,2011-08,152,171.0
10135,2011-09,68,94.68
10135,2011-10,69,100.77
10135,2011-11,165,207.76
10135,2011-12,68,94.68
11001,2010-12,65,109.85
11001,2011-01,32,54.08
11001,2011-02,16,27.04
11001,2011-03,49,82.81
11001,2011-04,35,59.15
11001,2011-05,96,162.24
11001,2011-06,96,162.24
11001,2011-07,53,89.57
11001,2011-08,498,646.74
11001,2011-09,79,136.70999999999998
11001,2011-10,112,208.48
11001,2011-11,101,175.49
11001,2011-12,20,38.6
15030,2011-03,5,1.45
15030,2011-06,10,2.9
15030,2011-07,89,25.81
15030,2011-08,2,0.58
15030,2011-09,3,0.8699999999999999
15030,2011-10,10,2.9
15030,2011-11,22,6.379999999999999
15030,2011-12,2,0.58
15034,2010-12,38,5.32
15034,2011-01,168,23.520000000000003
15034,2011-02,72,10.080000000000002
15034,2011-03,120,16.8
15034,2011-04,540,58.800000000000004
15034,2011-05,816,114.24000000000001
15034,2011-06,1620,126.00000000000001
15034,2011-07,205,28.700000000000003
15034,2011-08,108,15.120000000000001
15034,2011-09,387,54.18000000000001
15034,2011-10,1788,166.32000000000002
15034,2011-11,557,77.98000000000002
15036,2010-12,132,99.0
15036,2011-01,912,552.0
15036,2011-02,2172,1449.0
15036,2011-03,2912,1986.0
15036,2011-04,1900,1431.68
15036,2011-05,3888,2921.04
15036,2011-06,3096,2323.08
15036,2011-07,3384,2544.7200000000003
15036,2011-08,1212,926.7599999999999
15036,2011-09,444,363.23999999999995
15036,2011-10,1212,939.9599999999999
15036,2011-11,564,468.11999999999995
15036,2011-12,48,39.839999999999996
15039,2010-12,17,14.45
15039,2011-01,18,15.3
15039,2011-03,8,6.8
15039,2011-04,52,44.2
15039,2011-05,574,391.9
15039,2011-06,405,264.25
15039,2011-07,204,173.4
15039,2011-08,65,55.25
15039,2011-09,56,47.6
15039,2011-10,112,79.2
15039,2011-11,46,39.1
15039,2011-12,2,1.7
15044A,2010-12,6,17.700000000000003
15044A,2011-01,20,59.0
15044A,2011-02,9,26.550000000000004
15044A,2011-03,93,254.35
15044A,2011-04,39,115.05000000000001
15044A,2011-05,68,200.60000000000002
15044A,2011-06,57,168.15
15044A,2011-07,50,147.50000000000003
15044A,2011-08,19,56.05000000000001
15044A,2011-09,29,85.55000000000001
15044A,2011-10,3,8.850000000000001
15044A,2011-11,33,100.19000000000001
15044A,2011-12,2,8.74
15044B,2010-12,2,5.9
15044B,2011-01,24,70.80000000000001
15044B,2011-02,14,41.300000000000004
15044B,2011-03,68,180.6
15044B,2011-04,24,70.80000000000001
15044B,2011-05,109,301.55
15044B,2011-06,35,103.25000000000001
15044B,2011-07,25,73.75
15044B,2011-09,6,17.700000000000003
15044C,2010-12,7,20.650000000000002
15044C,2011-02,8,23.6
15044C,2011-03,78,210.1
15044C,2011-04,9,26.550000000000004
15044C,2011-05,31,91.45000000000002
15044C,2011-06,39,115.05000000000001
15044C,2011-07,34,100.30000000000001
15044C,2011-08,13,38.35000000000001
15044C,2011-09,29,85.55000000000001
15044C,2011-10,5,14.750000000000002
15044C,2011-11,17,50.150000000000006
15044C,2011-12,2,5.9
15044D,2011-01,32,94.4
15044D,2011-02,6,17.700000000000003
15044D,2011-03,132,349.4
15044D,2011-04,27,79.65
15044D,2011-05,66,194.70000000000002
15044D,2011-06,34,100.30000000000001
15044D,2011-07,109,293.55
15044D,2011-08,19,56.05000000000001
15044D,2011-09,101,269.15
15044D,2011-10,78,201.29999999999998
15044D,2011-11,24,73.64000000000001
15044D,2011-12,2,5.9
15056BL,2010-12,183,1064.8500000000001
15056BL,2011-01,189,1004.5500000000001
15056BL,2011-02,115,684.25
15056BL,2011-03,120,714.0
15056BL,2011-04,65,386.75
15056BL,2011-05,195,1040.25
15056BL,2011-06,141,774.95
15056BL,2011-07,514,2688.1
15056BL,2011-08,215,1153.25
15056BL,2011-09,259,1470.8500000000001
15056BL,2011-10,548,2880.11
15056BL,2011-11,165,933.7500000000001
15056BL,2011-12,70,423.01
15056N,2010-12,132,724.2
15056N,2011-01,132,744.6
15056N,2011-02,257,1349.15
15056N,2011-03,472,2484.4
15056N,2011-04,172,963.4
15056N,2011-05,337,1825.15
15056N,2011-06,383,2037.3500000000001
15056N,2011-07,684,3562.8
15056N,2011-08,413,2265.35
15056N,2011-09,338,1897.6100000000001
15056N,2011-10,269,1528.55
15056N,2011-11,157,850.15
15056N,2011-12,80,464.0
15056P,2010-12,71,357.65
15056P,2011-01,15,89.25
15056P,2011-02,25,148.75
15056P,2011-03,36,214.20000000000002
15056P,2011-04,95,505.25000000000006
15056P,2011-05,76,392.20000000000005
15056P,2011-06,28,166.60000000000002
15056P,2011-07,143,782.75
15056P,2011-08,79,470.05000000000007
15056P,2011-09,48,285.6
15056P,2011-10,49,264.55
15056P,2011-11,85,464.26000000000005
15056P,2011-12,19,113.05000000000001
15058A,2010-12,1,7.95
15058A,2011-03,8,63.6
15058A,2011-04,12,95.4
15058A,2011-05,36,262.2
15058A,2011-06,55,401.25
15058A,2011-07,12,95.4
15058A,2011-08,19,139.05
15058A,2011-09,2,15.9
15058A,2011-10,1,7.95
15058A,2011-11,2,15.9
15058B,2010-12,1,7.95
15058B,2011-01,3,23.85
15058B,2011-03,6,47.7
15058B,2011-04,11,87.45
15058B,2011-05,22,174.9
15058B,2011-06,42,297.9
15058B,2011-07,7,55.650000000000006
15058B,2011-08,21,154.95000000000002
15058B,2011-09,1,7.95
15058B,2011-11,1,7.95
15058C,2011-02,4,31.8
