StockCode,Month,Quantity,TotalSales
10080,2011-02,2,1.7
10120,2011-05,3,0.63
10123C,2010-12,1,0.65
10123C,2011-03,4,2.6
10124A,2010-12,4,1.68
10124A,2011-02,3,1.26
10124A,2011-11,4,1.68
10124G,2011-03,4,1.68
10124G,2011-09,4,1.68
10124G,2011-11,4,1.68
15030,2011-08,2,0.58
15030,2011-09,3,0.8699999999999999
15030,2011-12,2,0.58
15039,2011-12,2,1.7
15044A,2011-10,3,8.850000000000001
15044A,2011-12,2,8.74
15044B,2010-12,2,5.9
15044C,2011-12,2,5.9
15044D,2011-12,2,5.9
15058A,2010-12,1,7.95
15058A,2011-09,2,15.9
15058A,2011-10,1,7.95
15058A,2011-11,2,15.9
15058B,2010-12,1,7.95
15058B,2011-01,3,23.85
15058B,2011-09,1,7.95
15058B,2011-11,1,7.95
15058C,2011-02,4,31.8
15058C,2011-08,4,31.8
15058C,2011-09,1,7.95
15060B,2011-04,3,11.25
16020C,2011-03,2,1.7
16020C,2011-04,4,3.4
16046,2011-02,4,3.4
16046,2011-04,2,1.7
16046,2011-06,1,0.85
16046,2011-10,3,2.55
16046,2011-11,2,1.7
16054,2010-12,2,0.84
16162L,2011-07,3,1.9500000000000002
16162L,2011-08,1,0.65
16162M,2011-11,4,1.68
16202A,2011-03,3,1.5
16202A,2011-04,4,2.0
16206B,2010-12,2,2.5
16207A,2010-12,2,5.9
16207A,2011-03,2,5.9
16207A,2011-05,2,5.9
16207A,2011-11,1,2.95
16207B,2011-01,3,8.850000000000001
16207B,2011-08,1,2.46
16225,2011-04,1,1.25
16225,2011-05,2,2.5
16225,2011-08,4,7.04
16236,2011-02,4,0.84
16244B,2011-04,4,2.0
16244B,2011-05,3,5.85
16248B,2011-03,2,2.5
16248B,2011-05,1,1.25
16248B,2011-07,1,1.25
16248B,2011-09,2,2.5
16254,2011-08,1,1.63
16254,2011-11,3,2.55
16258A,2010-12,4,1.68
17011F,2010-12,1,2.1
17012A,2011-04,1,2.55
17012B,2011-04,1,2.55
17012C,2011-02,1,2.55
17012C,2011-04,1,2.55
17012C,2011-08,2,1.7
17012D,2011-06,1,2.55
17012F,2011-02,1,2.55
17012F,2011-03,2,5.1
17012F,2011-06,1,0.85
17014A,2011-03,1,1.65
17038,2011-07,1,0.1
17090A,2011-05,1,1.25
17090A,2011-07,2,2.5
17090D,2011-02,2,2.5
17090D,2011-03,2,2.5
17090D,2011-05,2,2.5
17091A,2011-02,3,3.75
17107D,2011-08,4,10.2
17109D,2010-12,2,3.38
17129F,2011-09,4,6.52
17129F,2011-11,1,1.63
17174,2011-01,1,0.42
17191A,2011-11,2,7.5
17191A,2011-12,2,7.5
18094C,2011-06,3,3.75
18094C,2011-10,3,3.75
18097A,2010-12,1,2.55
18097A,2011-03,2,5.1
18097A,2011-06,2,5.1
18097C,2011-09,2,5.1
18098C,2011-02,3,8.850000000000001
18098C,2011-05,1,2.95
18098C,2011-06,1,2.95
18098C,2011-08,4,11.8
20615,2011-01,4,8.4
